CTNNB1
ABCB10
ADGRA3
AKT1
ASIC3
ATP4A
ATP9A
C16orf62
C1orf101
CACNA1E
CAMKV
CEP295
CSF3R
CTNND2
CYP2F1
DCHS1
DSP
DYNC1H1
EPHB3
ERBB2
ERBB3
FAM13C
FGFR2
FMNL3
FOXA1
GBP7
GCK
GOLGA4
GOLGA6L22
HCFC1
HS6ST2
IGSF1
IREB2
KCNK9
LRR1
LRRC8C
MAP2K4
MAP3K1
MS4A4A
MYH14
MYH6
MYO18B
MYO1H
NAT9
NHLRC1
NLGN2
OR7A5
P2RX5
PADI2
PCDH19
PCDHB7
PIK3CA
PLCXD3
POTEF
PTEN
PTK2
RASA3
RCN1
RNF215
RS1
RUNX1
SCN10A
SCN11A
SELP
SGSM1
SLC8A1
SLIT2
SOGA1
SYBU
TACR2
TLR3
TLR7
TMEM145
TP53
TPO
TTC7B
TTN
VPS13C
WWC1
1-Sep
8-Sep
A2M
ABCA1
ABCC11
ACE
ADCY2
ADD2
ADH7
AFF1
AHNAK
AHNAK2
AMER3
AQP5
ARAP1
ARHGAP35
ARHGEF16
ARHGEF28
ARID4A
ARRB1
ASAH2
ASB4
ASXL1
ATAD3B
ATP6V0A4
ATR
AXIN1
BAZ2B
BOC
BTG2
BUD13
C15orf39
C2orf16
C3orf67
CARD14
CATSPERG
CCDC171
CCDC73
CD1E
CD96
CDH12
CDKN2A
CELSR3
CHN2
CLDN1
CNOT1
CRMP1
CSMD1
CUTC
CYP11B2
CYP27C1
DAPK1
DMD
DNAJC14
DPP4
DRG1
DSCAM
ELF3
EP300
EPHA2
EPHB1
ERCC2
EXD3
FAM110B
FAM120B
FBP1
FGFR3
FOXQ1
GABRA6
GDF11
GNAT2
GP2
GPC2
GPR161
GRIA4
GSTA1
HEATR5A
HLCS
HMGCR
HTR1F
HTR6
IGSF9B
IKZF2
JDP2
KAT8
KCNA5
KCNC1
KCNF1
KCNK2
KCNMB1
KDR
KIF17
KIF1A
KRAS
LARP1
LPA
LRRC15
LRRTM1
LY75
MAGEB1
MCMDC2
